Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20171108;1;17600;17708.09
20171108;2;16700;17149.18
20171108;3;16500;16823.06
20171108;4;16800;16816.54
20171108;5;17200;17081.74
20171108;6;18700;17913.95
20171108;7;21200;20269.21
20171108;8;22600;22106.78
20171108;9;23200;23132.04
20171108;10;23300;23532.66
20171108;11;23400;23470.21
20171108;12;23500;23775.35
20171108;13;23500;23894.01
20171108;14;23600;23933.68
20171108;15;23100;23706.7
20171108;16;23400;23761.45
20171108;17;24600;24399.59
20171108;18;24600;24699.48
20171108;19;24300;24367.69
20171108;20;24000;24183.24
20171108;21;23300;23399.7
20171108;22;21900;21847.73
20171108;23;20200;20194.3
20171108;24;18800;18921.88
20171109;1;17700;18001.14
20171109;2;17000;17435.84
20171109;3;16800;17048.71
20171109;4;16900;17094.81
20171109;5;17500;17381.26
20171109;6;18900;18131.7
20171109;7;21600;20444.2
20171109;8;22900;22218.8
20171109;9;23500;23356.66
20171109;10;23500;23734.09
20171109;11;23600;23653.35
20171109;12;23700;23923.3
20171109;13;23800;24016.76
20171109;14;23900;23907.25
20171109;15;23500;23530.34
20171109;16;23600;23594.36
20171109;17;24800;24360.15
20171109;18;24700;24559.48
20171109;19;24400;24191.5
20171109;20;24100;23967.03
20171109;21;23300;23302.09
20171109;22;22100;21750.86
20171109;23;20300;20179.71
20171109;24;18900;18815.16
20171110;1;17900;17810.33
20171110;2;17200;17151.78
20171110;3;17000;16781.54
20171110;4;17100;16830.11
20171110;5;17600;17057.2
20171110;6;19000;17889.79
20171110;7;21700;20063.6
20171110;8;23000;21722.96
20171110;9;23800;22684.83
20171110;10;23800;22965.6
20171110;11;24000;23004.39
20171110;12;24100;23285.93
20171110;13;24200;23446.93
20171110;14;24300;23401.24
20171110;15;23900;23029.48
20171110;16;24000;23108.4
20171110;17;24800;24042.41
20171110;18;24700;24109.54
20171110;19;24400;23605.74
20171110;20;24400;23188.16
20171110;21;23500;22417.49
20171110;22;22100;21044.35
20171110;23;20300;19534.11
20171110;24;18900;18289.74
20171111;1;17400;17148.9
20171111;2;16700;16422.84
20171111;3;16300;15951.75
20171111;4;16100;15783.96
20171111;5;16000;15736.96
20171111;6;15800;15582.28
20171111;7;15500;15487.89
20171111;8;16400;15917.88
20171111;9;17400;17059.05
20171111;10;18100;18103.01
20171111;11;18600;18701.13
20171111;12;18800;19097.41
20171111;13;18900;19113.86
20171111;14;19000;19104.00
20171111;15;18600;18596.11
20171111;16;18800;18538.31
20171111;17;20000;19434.09
20171111;18;19800;19799.84
20171111;19;19600;19552.35
20171111;20;19400;19178.93
20171111;21;19000;18612.26
20171111;22;18200;17831.71
20171111;23;17400;17047.63
20171111;24;16200;15975.91
20171112;1;15650;15175.44
20171112;2;15150;14606.48
20171112;3;14800;14218.78
20171112;4;14650;14047.4
20171112;5;14800;14159.36
20171112;6;15000;14345.5
20171112;7;15350;14791.66
20171112;8;16400;15133.89
20171112;9;17400;16060.44
20171112;10;18250;17131.55
20171112;11;18550;17729.68
20171112;12;18700;17876.85
20171112;13;18900;18065.6
20171112;14;18900;18184.88
20171112;15;18600;17923.26
20171112;16;19050;17930.8
20171112;17;20300;19022.65
20171112;18;20350;19598.05
20171112;19;20350;19654.56
20171112;20;20550;19765.58
20171112;21;19750;19079.69
20171112;22;18800;18162.7
20171112;23;18100;17397.13
20171112;24;16900;16451.39
20171113;1;15700;15596.15
20171113;2;15300;15221.46
20171113;3;15200;15097.15
20171113;4;15400;15123.45
20171113;5;16000;15468.09
20171113;6;18000;16400.48
20171113;7;21100;19397.33
20171113;8;22700;21684.73
20171113;9;23600;23031.53
20171113;10;23700;23463.53
20171113;11;23800;23400.58
20171113;12;23900;23706.21
20171113;13;23900;23879.91
20171113;14;24050;23889.99
20171113;15;23400;23586.41
20171113;16;23700;23575.45
20171113;17;24800;24317.89
20171113;18;24700;24412.28
20171113;19;24400;23976.73
20171113;20;24300;23856.6
20171113;21;23500;23135.29
20171113;22;21950;21612.48
20171113;23;20200;20104.24
20171113;24;18900;18716.29
20171114;1;17900;17660.15
20171114;2;17400;17049.44
20171114;3;17200;16768.04
20171114;4;17200;16759.93
20171114;5;17600;17082.5
20171114;6;19100;17852.16
20171114;7;21800;20503.51
20171114;8;23100;22210.34
20171114;9;23800;23112.24
20171114;10;23850;23431.26
20171114;11;24000;23347.6
20171114;12;24100;23604.61
20171114;13;24200;23725.28
20171114;14;24300;23843.05
20171114;15;23900;23477.21
20171114;16;24100;23617.6
20171114;17;24950;24654.95
20171114;18;24800;24868.13
20171114;19;24450;24456.16
20171114;20;24400;24268.76
20171114;21;23550;23581.14
20171114;22;22100;22130.08
20171114;23;20350;20463.1
20171114;24;18950;18945.43
